Sku_Code,Item_Number,Item_Name,Sales_Price,Product_Group,Business_Area,Dns,Item,Color_Code,Size,Procurement_Group,Color_Name,Color_Code,Heel_Type,Occasion,Shoe_Type,Description
118-10001-25-6,118-10001-115,118-10001 O-25-ORANGE_6_A,1995,US,OTR,118,10001,25,6,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-7,118-10001-116,118-10001 O-25-ORANGE_7_A,1995,US,OTR,118,10001,25,7,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-8,118-10001-117,118-10001 O-25-ORANGE_8_A,1995,US,OTR,118,10001,25,8,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-9,118-10001-118,118-10001 O-25-ORANGE_9_A,1995,US,OTR,118,10001,25,9,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-17-10,118-10001-119,118-10001 DN-17-BLUE/NAVY_10_A,1995,US,OTR,118,10001,17,10,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
118-10001-17-4,118-10001-120,118-10001 DN-17-BLUE/NAVY_4_A,1995,US,OTR,118,10001,17,4,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
118-10001-17-5,118-10001-121,118-10001 DN-17-BLUE/NAVY_5_A,1995,US,OTR,118,10001,17,5,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
118-10001-17-6,118-10001-122,118-10001 DN-17-BLUE/NAVY_6_A,1995,US,OTR,118,10001,17,6,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
118-10001-17-7,118-10001-123,118-10001 DN-17-BLUE/NAVY_7_A,1995,US,OTR,118,10001,17,7,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
118-10001-17-8,118-10001-124,118-10001 DN-17-BLUE/NAVY_8_A,1995,US,OTR,118,10001,17,8,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
